Thu Feb  4 04:33:58 2021
rule_repository_top_k.size(): 30
(whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(height,shell,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 78 | whole_conf: 0.919918 | Asupp: 2
(height,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 218 | whole_conf: 0.918778 | Asupp: 4
(diameter,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 722 | whole_conf: 0.913574 | Asupp: 10
(diameter,shell,rings,)=>whole | whole_supp: 8354 | whole_vio: 726 | whole_conf: 0.913096 | Asupp: 10
(diameter,shell,rings=8,)=>height | whole_supp: 1136 | whole_vio: 108 | whole_conf: 0.904930 | Asupp: 2
(length,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 11
(diameter,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 11
(diameter,whucked,shell,)=>length | whole_supp: 8354 | whole_vio: 36 | whole_conf: 0.995691 | Asupp: 11
(diameter,viscera,shell,)=>length | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 11
(viscera,shell,sex=F,)=>length | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 2
(viscera,shell,sex=M,)=>length | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 4
(viscera,shell,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 4
(diameter,whucked,sex=M,)=>length | whole_supp: 3056 | whole_vio: 82 | whole_conf: 0.973168 | Asupp: 4
(diameter,whucked,sex=F,)=>length | whole_supp: 2614 | whole_vio: 72 | whole_conf: 0.972456 | Asupp: 3
(length,viscera,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 78 | whole_conf: 0.970161 | Asupp: 2
(length,shell,rings,)=>sex | whole_supp: 8354 | whole_vio: 264 | whole_conf: 0.968398 | Asupp: 10
(diameter,shell,rings=11,)=>sex | whole_supp: 974 | whole_vio: 32 | whole_conf: 0.967146 | Asupp: 2
(length,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 90 | whole_conf: 0.965570 | Asupp: 2
(diameter,viscera,sex=M,)=>length | whole_supp: 3056 | whole_vio: 148 | whole_conf: 0.951571 | Asupp: 4
(diameter,shell,rings=11,)=>length | whole_supp: 974 | whole_vio: 48 | whole_conf: 0.950719 | Asupp: 2
(diameter,height,shell,)=>length | whole_supp: 8354 | whole_vio: 444 | whole_conf: 0.946852 | Asupp: 10
(length,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 474 | whole_conf: 0.943261 | Asupp: 10
(length,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 272 | whole_conf: 0.910995 | Asupp: 4
(diameter,height,whole,whucked,)=>length | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(sex,diameter,whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(diameter,whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 4
(length,whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 4
(diameter,whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whole,rings,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 4
(diameter,height,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 2 | whole_conf: 0.999235 | Asupp: 2
(diameter,height,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 4 | whole_conf: 0.998691 | Asupp: 4
(sex,diameter,whole,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 2
(diameter,height,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 14 | whole_conf: 0.994784 | Asupp: 4
(length,height,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 76 | whole_conf: 0.990903 | Asupp: 10
(height,shell,rings,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 96 | whole_conf: 0.963275 | Asupp: 2
(length,diameter,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(sex,whucked,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(whucked,shell,rings,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 14 | whole_conf: 0.994784 | Asupp: 4
(length,whole,rings,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 16 | whole_conf: 0.994039 | Asupp: 4
(whucked,shell,rings,sex=I,)=>length | whole_supp: 2684 | whole_vio: 20 | whole_conf: 0.992548 | Asupp: 4
(length,whole,rings,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 22 | whole_conf: 0.991803 | Asupp: 4
(sex,length,shell,rings=8,)=>height | whole_supp: 1136 | whole_vio: 32 | whole_conf: 0.971831 | Asupp: 2
(sex,length,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 324 | whole_conf: 0.961216 | Asupp: 10
(length,shell,rings,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 176 | whole_conf: 0.934426 | Asupp: 4


