Thu Feb  4 04:30:52 2021
rule_repository_top_k.size(): 30
(whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 11
(height,viscera,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 282 | whole_conf: 0.907723 | Asupp: 3
(length,whucked,sex=F,)=>height | whole_supp: 2614 | whole_vio: 56 | whole_conf: 0.978577 | Asupp: 5
(length,whucked,sex=M,)=>height | whole_supp: 3056 | whole_vio: 74 | whole_conf: 0.975785 | Asupp: 3
(diameter,viscera,rings,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 22 | whole_conf: 0.991584 | Asupp: 4
(diameter,viscera,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 22 | whole_conf: 0.991584 | Asupp: 4
(diameter,viscera,rings,sex=M,)=>whole | whole_supp: 3056 | whole_vio: 26 | whole_conf: 0.991492 | Asupp: 3
(diameter,viscera,rings,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 60 | whole_conf: 0.977645 | Asupp: 3
(diameter,viscera,rings,sex=I,)=>whole | whole_supp: 2684 | whole_vio: 66 | whole_conf: 0.975410 | Asupp: 3
(sex,diameter,shell,rings=11,)=>whole | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(sex,diameter,shell,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(height,viscera,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(diameter,viscera,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 20 | whole_conf: 0.992349 | Asupp: 4
(diameter,viscera,rings,sex=F,)=>length | whole_supp: 2614 | whole_vio: 20 | whole_conf: 0.992349 | Asupp: 4
(length,diameter,shell,rings=11,)=>height | whole_supp: 974 | whole_vio: 10 | whole_conf: 0.989733 | Asupp: 2
(sex,length,shell,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 18 | whole_conf: 0.981520 | Asupp: 2
(diameter,viscera,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 58 | whole_conf: 0.978390 | Asupp: 3
(sex,length,shell,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 22 | whole_conf: 0.977413 | Asupp: 2
(sex,length,shell,rings=11,)=>whole | whole_supp: 974 | whole_vio: 22 | whole_conf: 0.977413 | Asupp: 2
(sex,diameter,shell,rings=11,)=>length | whole_supp: 974 | whole_vio: 24 | whole_conf: 0.975359 | Asupp: 2
(sex,diameter,shell,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(length,height,viscera,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 12 | whole_conf: 0.996073 | Asupp: 3
(height,viscera,rings,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 4
(sex,length,height,shell,)=>viscera | whole_supp: 8354 | whole_vio: 168 | whole_conf: 0.979890 | Asupp: 11
(sex,length,shell,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 22 | whole_conf: 0.977413 | Asupp: 2
(height,viscera,rings,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 136 | whole_conf: 0.949329 | Asupp: 3


