Thu Feb  4 04:28:35 2021
rule_repository_top_k.size(): 30
(viscera,)=>rings | whole_supp: 4293 | whole_vio: 2448 | whole_conf: 0.429769 | Asupp: 10
(sex,height,viscera,)=>rings | whole_supp: 4293 | whole_vio: 423 | whole_conf: 0.901468 | Asupp: 10
(length,viscera,rings,)=>height | whole_supp: 4293 | whole_vio: 138 | whole_conf: 0.967855 | Asupp: 10
(height,viscera,rings,)=>sex | whole_supp: 4293 | whole_vio: 100 | whole_conf: 0.976706 | Asupp: 10
(viscera,shell,rings,)=>whucked | whole_supp: 4293 | whole_vio: 38 | whole_conf: 0.991148 | Asupp: 10
(viscera,shell,rings,)=>diameter | whole_supp: 4293 | whole_vio: 32 | whole_conf: 0.992546 | Asupp: 10
(viscera,rings,sex=I,)=>height | whole_supp: 1386 | whole_vio: 327 | whole_conf: 0.764069 | Asupp: 4
(height,viscera,rings,)=>sex=F | whole_supp: 4293 | whole_vio: 2958 | whole_conf: 0.310971 | Asupp: 3
(height,shell,rings,)=>sex=M | whole_supp: 4293 | whole_vio: 2721 | whole_conf: 0.366177 | Asupp: 3
(viscera,shell,rings,)=>sex=M | whole_supp: 4293 | whole_vio: 2721 | whole_conf: 0.366177 | Asupp: 3
(shell,rings,sex=M,)=>viscera | whole_supp: 1572 | whole_vio: 406 | whole_conf: 0.741730 | Asupp: 3
(viscera,rings,sex=M,)=>height | whole_supp: 1572 | whole_vio: 211 | whole_conf: 0.865776 | Asupp: 3
(viscera,rings,sex=M,)=>shell | whole_supp: 1572 | whole_vio: 196 | whole_conf: 0.875318 | Asupp: 3
(height,viscera,sex=M,)=>rings | whole_supp: 1572 | whole_vio: 135 | whole_conf: 0.914122 | Asupp: 3
(viscera,rings,sex=F,)=>height | whole_supp: 1335 | whole_vio: 135 | whole_conf: 0.898876 | Asupp: 3
(height,viscera,rings=10,)=>sex | whole_supp: 671 | whole_vio: 16 | whole_conf: 0.976155 | Asupp: 2
(sex,viscera,rings,)=>whucked | whole_supp: 4293 | whole_vio: 722 | whole_conf: 0.831819 | Asupp: 10
(sex,viscera,rings,)=>length | whole_supp: 4293 | whole_vio: 673 | whole_conf: 0.843233 | Asupp: 10
(sex,viscera,rings,)=>diameter | whole_supp: 4293 | whole_vio: 662 | whole_conf: 0.845796 | Asupp: 10
(sex,whole,rings,)=>shell | whole_supp: 4293 | whole_vio: 197 | whole_conf: 0.954111 | Asupp: 10
(length,viscera,rings,)=>whucked | whole_supp: 4293 | whole_vio: 95 | whole_conf: 0.977871 | Asupp: 10
(length,viscera,rings,)=>diameter | whole_supp: 4293 | whole_vio: 78 | whole_conf: 0.981831 | Asupp: 10
(length,viscera,rings,)=>sex | whole_supp: 4293 | whole_vio: 43 | whole_conf: 0.989984 | Asupp: 10
(viscera,rings,sex=I,)=>whucked | whole_supp: 1386 | whole_vio: 379 | whole_conf: 0.726551 | Asupp: 4
(viscera,rings,sex=I,)=>diameter | whole_supp: 1386 | whole_vio: 344 | whole_conf: 0.751804 | Asupp: 4
(whucked,shell,rings,)=>sex=M | whole_supp: 4293 | whole_vio: 2721 | whole_conf: 0.366177 | Asupp: 3
(diameter,shell,rings,)=>sex=M | whole_supp: 4293 | whole_vio: 2721 | whole_conf: 0.366177 | Asupp: 3
(length,rings,sex=M,)=>viscera | whole_supp: 1572 | whole_vio: 881 | whole_conf: 0.439567 | Asupp: 3
(length,rings,sex=M,)=>height | whole_supp: 1572 | whole_vio: 764 | whole_conf: 0.513995 | Asupp: 3
(length,rings,sex=F,)=>viscera | whole_supp: 1335 | whole_vio: 750 | whole_conf: 0.438202 | Asupp: 3
(length,rings,sex=F,)=>height | whole_supp: 1335 | whole_vio: 648 | whole_conf: 0.514607 | Asupp: 3
(shell,rings,sex=M,)=>whucked | whole_supp: 1572 | whole_vio: 410 | whole_conf: 0.739186 | Asupp: 3
(shell,rings,sex=M,)=>diameter | whole_supp: 1572 | whole_vio: 368 | whole_conf: 0.765903 | Asupp: 3
(viscera,rings,sex=M,)=>whucked | whole_supp: 1572 | whole_vio: 202 | whole_conf: 0.871501 | Asupp: 3
(viscera,rings,sex=M,)=>length | whole_supp: 1572 | whole_vio: 189 | whole_conf: 0.879771 | Asupp: 3
(viscera,rings,sex=M,)=>diameter | whole_supp: 1572 | whole_vio: 188 | whole_conf: 0.880407 | Asupp: 3
(viscera,rings,sex=F,)=>whucked | whole_supp: 1335 | whole_vio: 141 | whole_conf: 0.894382 | Asupp: 3
(viscera,rings,sex=F,)=>length | whole_supp: 1335 | whole_vio: 137 | whole_conf: 0.897378 | Asupp: 3
(viscera,rings,sex=F,)=>diameter | whole_supp: 1335 | whole_vio: 130 | whole_conf: 0.902622 | Asupp: 3
(whole,rings,sex=F,)=>height | whole_supp: 1335 | whole_vio: 53 | whole_conf: 0.960300 | Asupp: 3
(whole,rings,sex=M,)=>shell | whole_supp: 1572 | whole_vio: 52 | whole_conf: 0.966921 | Asupp: 3
(whole,rings,sex=M,)=>viscera | whole_supp: 1572 | whole_vio: 51 | whole_conf: 0.967557 | Asupp: 3
(whole,rings,sex=F,)=>viscera | whole_supp: 1335 | whole_vio: 39 | whole_conf: 0.970787 | Asupp: 3
(sex,whole,rings,)=>length | whole_supp: 4293 | whole_vio: 187 | whole_conf: 0.956441 | Asupp: 10
(length,rings,sex=M,)=>whucked | whole_supp: 1572 | whole_vio: 886 | whole_conf: 0.436387 | Asupp: 3
(length,rings,sex=F,)=>whucked | whole_supp: 1335 | whole_vio: 744 | whole_conf: 0.442697 | Asupp: 3
(length,rings,sex=M,)=>diameter | whole_supp: 1572 | whole_vio: 732 | whole_conf: 0.534351 | Asupp: 3
(length,rings,sex=F,)=>diameter | whole_supp: 1335 | whole_vio: 634 | whole_conf: 0.525094 | Asupp: 3
(whole,rings,sex=M,)=>whucked | whole_supp: 1572 | whole_vio: 53 | whole_conf: 0.966285 | Asupp: 3
(whole,rings,sex=M,)=>length | whole_supp: 1572 | whole_vio: 51 | whole_conf: 0.967557 | Asupp: 3
(whole,rings,sex=M,)=>diameter | whole_supp: 1572 | whole_vio: 50 | whole_conf: 0.968193 | Asupp: 3
(whole,rings,sex=F,)=>whucked | whole_supp: 1335 | whole_vio: 39 | whole_conf: 0.970787 | Asupp: 3
(whole,rings,sex=F,)=>diameter | whole_supp: 1335 | whole_vio: 36 | whole_conf: 0.973034 | Asupp: 3
(whole,rings,sex=F,)=>length | whole_supp: 1335 | whole_vio: 36 | whole_conf: 0.973034 | Asupp: 3
(height,viscera,shell,rings,)=>sex=I | whole_supp: 4293 | whole_vio: 2907 | whole_conf: 0.322851 | Asupp: 4
(height,viscera,shell,rings,)=>sex=F | whole_supp: 4293 | whole_vio: 2958 | whole_conf: 0.310971 | Asupp: 3


