Thu Feb  4 04:32:07 2021
rule_repository_top_k.size(): 30
(whole,viscera,)=>sex | whole_supp: 8354 | whole_vio: 30 | whole_conf: 0.996409 | Asupp: 12
(whole,rings,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 218 | whole_conf: 0.918778 | Asupp: 6
(diameter,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 712 | whole_conf: 0.914771 | Asupp: 10
(diameter,shell,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 112 | whole_conf: 0.911672 | Asupp: 2
(height,viscera,sex=M,)=>length | whole_supp: 3056 | whole_vio: 274 | whole_conf: 0.910340 | Asupp: 2
(height,viscera,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 282 | whole_conf: 0.907723 | Asupp: 2
(height,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 284 | whole_conf: 0.907068 | Asupp: 2
(diameter,viscera,sex=I,)=>length | whole_supp: 2684 | whole_vio: 256 | whole_conf: 0.904620 | Asupp: 6
(length,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whucked,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 4 | whole_conf: 0.998691 | Asupp: 2
(length,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(length,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(length,whole,shell,)=>whucked | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(sex,whucked,viscera,)=>length | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whole,whucked,sex=I,)=>length | whole_supp: 2684 | whole_vio: 10 | whole_conf: 0.996274 | Asupp: 6
(whucked,shell,sex=F,)=>height | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(whucked,shell,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(whucked,shell,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(whucked,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(whole,shell,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 16 | whole_conf: 0.994764 | Asupp: 2
(whucked,shell,rings,)=>length | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 10
(length,whucked,rings,)=>sex | whole_supp: 8354 | whole_vio: 56 | whole_conf: 0.993297 | Asupp: 10
(viscera,shell,sex=F,)=>length | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 2
(length,whucked,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 12 | whole_conf: 0.990536 | Asupp: 2
(viscera,shell,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 2
(length,whole,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 36 | whole_conf: 0.988220 | Asupp: 2
(length,whole,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 38 | whole_conf: 0.987565 | Asupp: 2
(length,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 20 | whole_conf: 0.984227 | Asupp: 2
(viscera,shell,sex=M,)=>length | whole_supp: 3056 | whole_vio: 50 | whole_conf: 0.983639 | Asupp: 2
(length,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 48 | whole_conf: 0.981637 | Asupp: 2
(length,whucked,sex=F,)=>height | whole_supp: 2614 | whole_vio: 56 | whole_conf: 0.978577 | Asupp: 2
(length,whucked,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 56 | whole_conf: 0.978577 | Asupp: 2
(length,height,shell,)=>sex | whole_supp: 8354 | whole_vio: 184 | whole_conf: 0.977975 | Asupp: 10
(whucked,shell,sex=I,)=>height | whole_supp: 2684 | whole_vio: 60 | whole_conf: 0.977645 | Asupp: 6
(length,whucked,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 72 | whole_conf: 0.976440 | Asupp: 2
(length,whucked,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 64 | whole_conf: 0.975516 | Asupp: 2
(diameter,whucked,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 84 | whole_conf: 0.972513 | Asupp: 2
(length,diameter,shell,)=>sex | whole_supp: 8354 | whole_vio: 244 | whole_conf: 0.970792 | Asupp: 10
(diameter,whucked,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 80 | whole_conf: 0.969396 | Asupp: 2
(length,shell,rings,)=>sex | whole_supp: 8354 | whole_vio: 264 | whole_conf: 0.968398 | Asupp: 10
(length,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 90 | whole_conf: 0.965570 | Asupp: 2
(length,viscera,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 92 | whole_conf: 0.964805 | Asupp: 2
(length,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 98 | whole_conf: 0.963487 | Asupp: 6
(length,whucked,sex=I,)=>height | whole_supp: 2684 | whole_vio: 106 | whole_conf: 0.960507 | Asupp: 6
(length,whucked,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 108 | whole_conf: 0.959762 | Asupp: 6
(length,height,shell,)=>whucked | whole_supp: 8354 | whole_vio: 350 | whole_conf: 0.958104 | Asupp: 10
(whucked,rings,sex=M,)=>length | whole_supp: 3056 | whole_vio: 158 | whole_conf: 0.948298 | Asupp: 2
(length,diameter,shell,)=>whucked | whole_supp: 8354 | whole_vio: 442 | whole_conf: 0.947091 | Asupp: 10
(height,whucked,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 162 | whole_conf: 0.946990 | Asupp: 2
(diameter,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 148 | whole_conf: 0.944858 | Asupp: 6
(whucked,rings,sex=F,)=>length | whole_supp: 2614 | whole_vio: 156 | whole_conf: 0.940321 | Asupp: 2
(whucked,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 172 | whole_conf: 0.934200 | Asupp: 2
(length,shell,rings,)=>whucked | whole_supp: 8354 | whole_vio: 580 | whole_conf: 0.930572 | Asupp: 10
(length,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 260 | whole_conf: 0.900536 | Asupp: 2
(length,whucked,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 62 | whole_conf: 0.976282 | Asupp: 2
(length,whucked,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 80 | whole_conf: 0.973822 | Asupp: 3
(diameter,whole,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(diameter,height,viscera,rings,)=>whole | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(diameter,height,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 6 | whole_conf: 0.995268 | Asupp: 2
(whole,viscera,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 6
(diameter,viscera,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 3
(diameter,whole,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(diameter,whucked,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(diameter,whole,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(diameter,whole,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,diameter,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 12
(height,viscera,shell,rings,)=>whole | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(diameter,whole,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 6 | whole_conf: 0.998037 | Asupp: 2
(diameter,whole,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 8 | whole_conf: 0.996940 | Asupp: 2
(length,diameter,viscera,rings,)=>height | whole_supp: 8354 | whole_vio: 26 | whole_conf: 0.996888 | Asupp: 12
(length,diameter,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 3
(diameter,height,whucked,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 2
(length,diameter,viscera,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 4 | whole_conf: 0.996845 | Asupp: 2
(diameter,height,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(diameter,height,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 18 | whole_conf: 0.994110 | Asupp: 2
(diameter,viscera,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 22 | whole_conf: 0.992801 | Asupp: 2
(diameter,viscera,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 20 | whole_conf: 0.992349 | Asupp: 2
(diameter,viscera,rings,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 22 | whole_conf: 0.991584 | Asupp: 2
(height,viscera,rings,sex=M,)=>diameter | whole_supp: 3056 | whole_vio: 30 | whole_conf: 0.990183 | Asupp: 2
(diameter,height,shell,rings,)=>viscera | whole_supp: 8354 | whole_vio: 104 | whole_conf: 0.987551 | Asupp: 12
(diameter,height,shell,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(diameter,whole,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 36 | whole_conf: 0.986587 | Asupp: 6
(diameter,height,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 38 | whole_conf: 0.985842 | Asupp: 6
(height,viscera,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 40 | whole_conf: 0.984698 | Asupp: 2
(height,viscera,rings,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 2
(height,viscera,rings,sex=I,)=>whole | whole_supp: 2684 | whole_vio: 136 | whole_conf: 0.949329 | Asupp: 6
(diameter,whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whole,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(diameter,whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whole,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,viscera,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 6 | whole_conf: 0.997705 | Asupp: 2
(length,height,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 8 | whole_conf: 0.996940 | Asupp: 2
(diameter,whucked,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 10 | whole_conf: 0.996728 | Asupp: 2
(height,whucked,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(length,height,viscera,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 12 | whole_conf: 0.996073 | Asupp: 2
(diameter,whucked,rings,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 14 | whole_conf: 0.995419 | Asupp: 2
(diameter,height,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 12 | whole_conf: 0.995409 | Asupp: 2
(diameter,height,viscera,sex=F,)=>length | whole_supp: 2614 | whole_vio: 12 | whole_conf: 0.995409 | Asupp: 2
(diameter,whucked,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 14 | whole_conf: 0.994644 | Asupp: 2
(diameter,whucked,rings,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 16 | whole_conf: 0.993879 | Asupp: 2
(diameter,height,viscera,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 22 | whole_conf: 0.992801 | Asupp: 2
(diameter,height,viscera,sex=M,)=>length | whole_supp: 3056 | whole_vio: 22 | whole_conf: 0.992801 | Asupp: 2
(length,viscera,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 24 | whole_conf: 0.992147 | Asupp: 2
(diameter,viscera,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 22 | whole_conf: 0.991584 | Asupp: 2
(diameter,height,viscera,sex=I,)=>length | whole_supp: 2684 | whole_vio: 40 | whole_conf: 0.985097 | Asupp: 7
(diameter,whucked,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 40 | whole_conf: 0.985097 | Asupp: 6
(diameter,height,viscera,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 46 | whole_conf: 0.982861 | Asupp: 7
(length,viscera,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 50 | whole_conf: 0.981371 | Asupp: 6
(length,diameter,height,rings,)=>sex | whole_supp: 8354 | whole_vio: 190 | whole_conf: 0.977256 | Asupp: 10
(height,whucked,rings,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 62 | whole_conf: 0.976900 | Asupp: 6
(diameter,shell,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 64 | whole_conf: 0.975516 | Asupp: 2
(diameter,shell,rings,sex=M,)=>height | whole_supp: 3056 | whole_vio: 76 | whole_conf: 0.975131 | Asupp: 2
(diameter,shell,rings,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 66 | whole_conf: 0.974751 | Asupp: 2
(diameter,shell,rings,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 96 | whole_conf: 0.968586 | Asupp: 2
(height,shell,rings,sex=F,)=>diameter | whole_supp: 2614 | whole_vio: 94 | whole_conf: 0.964040 | Asupp: 2
(height,shell,rings,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 96 | whole_conf: 0.963275 | Asupp: 2
(sex,diameter,shell,rings,)=>whole | whole_supp: 8354 | whole_vio: 384 | whole_conf: 0.954034 | Asupp: 12
(height,viscera,rings,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 136 | whole_conf: 0.949329 | Asupp: 6
(diameter,shell,rings,sex=I,)=>height | whole_supp: 2684 | whole_vio: 180 | whole_conf: 0.932936 | Asupp: 6
(height,shell,rings,sex=I,)=>diameter | whole_supp: 2684 | whole_vio: 210 | whole_conf: 0.921759 | Asupp: 6
(diameter,shell,rings,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 218 | whole_conf: 0.918778 | Asupp: 6
(diameter,shell,rings,sex=I,)=>whole | whole_supp: 2684 | whole_vio: 222 | whole_conf: 0.917288 | Asupp: 8
(height,shell,rings,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 250 | whole_conf: 0.906855 | Asupp: 6
(length,whole,rings,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 6 | whole_conf: 0.997705 | Asupp: 2
(viscera,shell,rings,sex=M,)=>length | whole_supp: 3056 | whole_vio: 10 | whole_conf: 0.996728 | Asupp: 2
(length,height,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 2
(length,height,viscera,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 54 | whole_conf: 0.979881 | Asupp: 7


